finding_id,priority,domain,object_or_scope,live_verification_result,existence_status,rls_status,policy_or_privilege_status,migration_provenance,readiness_status,risk_statement,decision,db1c_action,db1c_order,evidence_source,verification_status
DB1B-F01,P0,account,profiles,"Table exists; RLS enabled; birthday, birth_date_locked, birthday_change_count, birthday_last_changed_at, and metadata observed",exists,enabled,Own direct UPDATE policies exist; exact expressions/grants not fully captured in supplied summary,clear table/column migration provenance; live apply-state not proven,conditional,"Direct authenticated update may bypass UX4 birthday lock, counter, timestamp, consent, or protected metadata rules",Keep UX4 operational readiness conditional until DB-level write boundary is hardened,"Inventory writers and protected columns; choose server-only writes, validated RPC, column privileges, or table separation",P0-3,operator-supplied manual read-only SQL Editor results,live observed; remediation pending
DB1B-F02,P0,preferences,notification_preferences,"Table exists; RLS enabled; campaign, newsletter, stock, SMS, order, and cargo-related fields observed",exists,enabled,"Full policy expressions, grants, unique user constraint, and FK not included in supplied summary",clear migration provenance; live apply-state not proven,schema ready,"Field presence supports UX4, but complete own-row and one-row-per-user contract remains to be evidenced",Accept schema presence; retain residual policy/constraint verification,"Capture columns, unique/FK, policies, grants; run anon/user A/user B tests in approved DB1C verification",P0-3 then P1 validation,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F03,P0,favorites,user_favorites,"Table exists; RLS enabled; unique(user_id, product_slug); own SELECT, INSERT, DELETE, and UPDATE policies observed",exists,enabled,Own CRUD policy set verified; exact expressions and table grants should be preserved in baseline,out-of-band in DB1 repository; live apply-state not proven,ready for E1,"Current production feature is ready, but a fresh environment cannot reproduce the table from proven migration history",Accept E1 live DB contract; remediate provenance without recreating live data,"Capture exact table, FK, defaults, indexes, policies, grants, and include in approved canonical baseline",P0-1,operator-supplied manual read-only SQL Editor results,live verified
DB1B-F04,P0,orders,orders,Table exists and RLS enabled,exists,enabled,Exact own/admin policies and grants not included in supplied summary,partial/historical migration provenance; live apply-state not proven,exists; controls incomplete,"Ownership, guest-order visibility, totals, and status invariants are not proven by the RLS flag",Do not change live order logic; verify before constraint or policy design,Capture policies/grants/FKs/checks/indexes and paid/coupon snapshot contract,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F05,P0,orders,order_items,Table exists and RLS enabled,exists,enabled,Order-derived ownership and direct grants not included in supplied summary,later migration provenance; live apply-state not proven,exists; controls incomplete,"Orphan prevention, user visibility through orders, paid-price snapshots, and arithmetic checks remain unproven",Preserve current behavior; verify exact live contract,"Capture FKs, order/user indexes, D3 snapshot columns/checks, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F06,P0,payments,payments,Table exists and RLS enabled,exists,enabled,Customer read/admin write model and provider-field exposure not included in supplied summary,later migration provenance; live apply-state not proven,exists; controls incomplete,"Raw provider data, FK, non-negative amount, status, and idempotency boundaries remain unproven",Treat writes as server-only unless an explicit direct-client contract exists,Capture policies/grants/FKs/checks/unique references and safe customer projection,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F07,P0,inventory,product_inventory,Table exists and RLS enabled,exists,enabled,Admin-only mutation model and exact grants not included in supplied summary,clear migration provenance; live apply-state not proven,exists; controls incomplete,Non-negative/reserved/backorder rules and unique product_slug require exact live proof,Keep stock writes server/admin-only and verify invariants,"Capture unique/check constraints, available-stock behavior, indexes, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F08,P0,pricing,product_price_overrides,"Table exists; RLS enabled; regular, sale, compare-at, and sale-window fields observed",exists,enabled,Admin-only mutation/grants and exact policy expressions not included in supplied summary,clear P1C/P1E migration provenance; live apply-state not proven,P1E schema ready,"Field presence does not prove price-window checks, non-negative checks, slug uniqueness/indexes, or least-privilege writes",Accept current P1E live field contract; verify safeguards in DB1C,Capture exact columns/checks/indexes/policies/grants and adversarial write results,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live verified for fields; safeguards incomplete
DB1B-F09,P1,pricing audit,product_price_audit_logs,Sale and compare-at audit fields observed live,exists,not stated,"Exact grants, insert path, immutability, actor fields, and indexes not included in supplied summary",clear P1C/P1E migration provenance; live apply-state not proven,P1E audit fields ready,Audit rows could be incomplete or mutable unless exact live controls match intent,Accept field presence only; do not claim complete audit integrity,"Capture table definition, grants/policies, actor/time fields, old/new fields, and product_slug index",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live verified for fields; safeguards incomplete
DB1B-F10,P0,coupons,coupons,Table exists and RLS enabled,exists,enabled,"Exact public/admin policies, grants, and code uniqueness not included in supplied summary",clear migration provenance; live apply-state not proven,exists; controls incomplete,Coupon code duplication or overly broad mutation could affect checkout parity,Keep mutation admin/server-only; verify canonical uppercase/code uniqueness and validity checks,"Capture unique/check constraints, indexes, policies, grants, and code normalization",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F11,P0,coupon usage,coupon_redemptions,Table exists and RLS enabled,exists,enabled,"Exact own/server policy, grants, order/coupon/user constraints not included in supplied summary",clear migration provenance; live apply-state not proven,exists; controls incomplete,Duplicate or inconsistent reservation/redemption state could affect usage limits and refunds,Preserve checkout/cancellation logic; verify exact live invariant set,"Capture FKs, uniqueness/idempotency, status checks, indexes, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F12,P0,migration governance,supabase_migrations.schema_migrations,"Only 20260418 guest_checkout and 20260510 newsletter_subscribers reported, while many additional objects exist live",exists,not applicable,not applicable,apply-state materially incomplete relative to live schema,not ready,"Empty-database bootstrap, recovery, drift review, and future migration assumptions are unreliable",Make baseline/apply-state strategy the first DB1C decision; do not replay or backfill ledger blindly,Capture complete live schema and ledger; reconcile object-by-object; prove isolated clean build,P0-1,operator-supplied manual read-only SQL Editor results,live verified; highest risk
