table_name,domain,referenced_by_code,migration_found,expected_columns,expected_indexes,expected_unique_constraints,expected_foreign_keys,expected_rls_enabled,expected_policies,current_provenance_status,risk_level,recommended_action
"admin_activity_logs","admin/RBAC","functions/api/_lib/admin-audit.js: insert","yes","id; actor_user_id; actor_email; role_code; action; resource_type; resource_id; before_data; after_data; ip_address; user_agent; metadata; created_at","(resource_type,resource_id,created_at desc); actor_email/created_at for investigations","none required beyond PK","actor_user_id -> auth.users or admin_users if identity model permits; role_code -> admin_roles(code)","yes","server-only; no anon/authenticated access","Created in 20260626 migration after 20260616 blanket RLS migration; no later RLS/grant block found","P0","Verify live RLS/grants immediately; add canonical server-only hardening migration"
"admin_permissions","admin/RBAC","functions/api/_lib/admin-audit.js: read; tests: read","yes","id; role_code; permission; created_at","role_code; permission lookup","unique(role_code,permission)","role_code -> admin_roles(code) on delete cascade","yes","server-only read/write","Created in 20260626 migration after blanket hardening; no RLS/grant block found","P0","Verify Data API exposure; harden grants/RLS and retain unique pair"
"admin_roles","admin/RBAC","supporting object used by admin_permissions and admin_users","yes","code; name; description; created_at","PK(code)","PK(code)","none","yes","server-only or explicitly read-only through server","Created in 20260626 migration after blanket hardening; no RLS/grant block found","P1","Verify grants/RLS and prevent direct role enumeration/mutation"
"admin_users","admin/RBAC","functions/api/_lib/admin.js; _lib/admin-audit.js; admin/users.js: read/write","yes","id; email; role; role_code; permissions; status; is_active; last_seen_at; created_at; updated_at","lower(email); status/is_active","unique normalized email","role_code -> admin_roles(code)","yes","server-only; admin identity checked before server writes","Base in 20260511 and hardened dynamically in 20260616; code writes legacy role while reads role_code fallback","P0","Verify RLS/revokes, email uniqueness normalization, role/role_code consistency, and status/is_active consistency"
"birthday_benefits","membership/loyalty","functions/api/cron/birthday-benefits.js: insert","yes","id; user_id; benefit_year; points_awarded; coupon_id; issued_at; expires_at; status; metadata","user_id; expires_at/status","unique(user_id,benefit_year)","user_id -> auth.users(id); coupon_id -> coupons/customer_coupons if applicable","yes","own select only; server-only insert/update","Created and RLS/policy defined in 20260626 migration","P1","Verify FK targets, own policy role scoping, and cron idempotency"
"campaign_eligibility_logs","CRM/membership","schema-supporting object; no direct runtime helper reference","yes","id; user_id; email; campaign_code; eligible; reason; metadata; created_at","user_id/created_at; lower(email)/created_at; campaign_code/created_at","none required","user_id -> auth.users(id)","yes","server-only","Created after blanket hardening; no RLS/grant block found","P1","Verify exposure and add server-only RLS/grants"
"checkout_idempotency","orders","tests/local-integration.test.mjs: test-only REST mock","no","legacy table is not expected; orders.checkout_idempotency_key is canonical","orders(checkout_idempotency_key)","unique non-null orders.checkout_idempotency_key","none","yes if table unexpectedly exists","server-only","Test-only legacy identifier; canonical migration uses column on orders","P2","Confirm table is absent or document legacy ownership; verify canonical unique index"
"consent_records","legal/consent","account/summary.js read; auth/register.js, consents.js, create-checkout.js, newsletter/subscribe.js insert","yes","id; user_id; email; consent_type; status; source; document_key; document_version; document_hash; ip_address; user_agent; metadata; created_at","user_id/created_at; lower(email),consent_type,created_at","event idempotency key recommended where retries possible","user_id -> auth.users(id)","yes","server-only; no direct customer mutation; own read only if explicitly needed","Created in 20260511; dynamically RLS-enabled/revoked in 20260616","P0","Verify FK, RLS/revokes, enum coverage, duplicate consent-event strategy, and retention access"
"coupon_redemptions","coupons","checkout/finalization/cancellation/account/admin/refund code: read/write","yes","id; coupon_id; order_id; user_id; customer_email; code; status; discount_amount; metadata; created_at; updated_at","coupon_id; order_id; user_id; lower(customer_email); code/status","idempotent reservation/redemption key per coupon+order; prevent duplicate active redemption","coupon_id -> coupons(id); order_id -> orders(id); user_id -> auth.users(id)","yes","server-only; customer may read own through server","Created in 20260626 and final-fix migrations; dynamically hardened","P0","Verify FKs, duplicate prevention, status constraint, and indexes used by checkout/finalization"
"coupon_reservations","coupons","tests/local-integration.test.mjs: test-only REST mock","no","not canonical; coupon_redemptions(status=reserved) is used","n/a","n/a","n/a","yes if table exists","server-only","Test-only legacy identifier","P2","Confirm absent or retire/document legacy test fixture"
