issue_id,area,surface,severity,type,observed_problem,suspected_root_cause,files_likely_involved,db_tables_likely_involved,user_impact,recommended_batch,acceptance_criteria
UX3-01,mini-cart,drawer (all pages),P0,functional,"ReferenceError: cartHasItems is not defined on every page; drawer coupon box and recommendations never render; error re-fires every 1.8s","Commit 23f7c95 (C3) removed cartHasItems() definition but kept 6 call sites; setInterval remount loop repeats the throw","assets/phase6-commerce.js","-","Cannot apply coupon in mini cart; drawer looks bare/plugin-like; console errors in critical flows","UX3","No console errors on home/PLP/PDP/cart/checkout; coupon box and recommendations visible with items in cart; coupon apply/remove works in drawer"
UX3-02,mini-cart,drawer with 2+ items,P0,visual,"Product rows collide: row height fixed at 78px while content is 139-158px; text/price/qty bleed into next card","phase6-commerce.css:395 min-height:78px+align-items:center!important and :389 max-height:31dvh fight C3 premium layout (:643); plus master-upgrade.css:242 and cosmoskin-final-uat-fix.css:154 layers","assets/phase6-commerce.css,assets/master-upgrade.css,assets/cosmoskin-final-uat-fix.css,assets/style.css","-","Cart looks broken/cramped with 2+ items; core purchase surface feels untrustworthy","UX3","With 1/2/3/5 items and long names + stock warnings, no overlapping boxes at 360/390/430/768/1280; rows grow with content"
UX3-03,mini-cart,drawer head (mobile),P2,visual,"Serif title wraps with orphan word (Seçtiğin ürünleri kontrol / et); head block copy-heavy; kicker+title+subtitle+trust+edit link","Fixed copy string; no responsive type scale for drawer head","assets/phase6-commerce.js,assets/phase6-commerce.css","-","Drawer head feels weak/unbalanced on mobile","UX3","Drawer head max 2 text levels; no orphan wrap at 320-430px; stronger modern heading per design target"
UX3-04,mini-cart,drawer recommendations,P3,design,"Single recommendation card with prev/next arrows feels like a widget/plugin","pickRecommendations limit 1 + arrow carousel","assets/phase6-commerce.js,assets/phase6-commerce.css","-","Sub-premium impression","UX3","Recommendation area redesigned (e.g. one refined row without arrows) or removed"
UX3-05,mini-cart,all pages,P2,code-quality,"document.write script fallback and permanent setInterval(mountCartExtras,1800); full innerHTML rerender on qty change","Legacy bootstrapping patterns","assets/phase6-commerce.js,assets/app.js","-","Perf overhead; scroll jump risk in drawer; fragile loading","UX3","Event-driven mount (no polling); no document.write; qty change preserves item scroll position"
UX3-06,mini-cart,drawer coverage,P3,consistency,"order-tracking.html and account/index.html ship drawer without phase6 premium enhancement (legacy 38px Sepet head)","Pages missing phase6-commerce.js include","order-tracking.html,account/index.html","-","Inconsistent drawer between pages","UX3","All pages with #cartDrawer load the same drawer stack"
UX0-01,global,cookie banner,P1,visual,"Cookie banner overlaps drawer CTA / cart summary / checkout stock card / favorites empty CTA; consumes most of 390px viewport","#cookieBanner z-index above .drawer(320) and modal layers; no compact mobile variant","assets/style.css,index.html (all pages)","-","Blocks primary commerce CTAs until dismissed; poor first-visit mobile UX","UX3","Banner never covers open drawer/summary CTAs; compact single-row mobile variant; z-index below drawers or docks above bottom-nav"
UX4-01,account,profile save,P0,data-loss,"Saving name/phone/birthday silently resets marketing/newsletter/stock/routine opt-ins and metadata in profiles","PATCH handler builds full-row upsert with normalizeBool(undefined)=false; frontend sends partial payload","functions/api/account/profile.js,assets/account-dashboard.js","profiles","Consent/CRM data corruption (KVKK-relevant); switches appear to not persist","UX4","PATCH merges only provided fields (or frontend sends full state); saving profile never changes opt-ins; regression validator added"
UX4-02,account,birth date field,P1,functional,"Birth date may appear editable but not persist if profiles.birthday/lock columns are missing in production; UI cannot clear a birthday","Column provenance unverified; frontend omits empty birthday from payload","assets/account-dashboard.js,functions/api/account/profile.js","profiles","User-reported broken field","UX4/DB1","SQL verification confirms columns; save+refresh persists; locked-change UX communicates the one-time rule"
UX4-03,account,notification switches,P2,design,"Preference toggles are plain checkboxes, not premium animated switches","No switch component in account CSS","assets/account-dashboard.js,assets/account-premium.css","notification_preferences","Feels unfinished vs Sephora/Rhode target","UX4","Accessible animated switch component (prefers-reduced-motion safe) used across notifications/cookie prefs"
UX4-04,account,guest/error state,P2,visual,"Rotated HESAP BILGISI stamp renders skewed/broken; huge blank band between error card and footer","Decorative rotated overline + page min-height without content","assets/account-dashboard.js,assets/account-premium.css","-","Error state looks broken","UX4","Error/gate state fills layout intentionally; stamp removed or properly designed"
UX4-05,account,overview cards,P3,design,"Card generations mix radii/shadows; stat text relies on overflow-wrap:anywhere band-aids","UX1 patch layered over older card CSS","assets/account-premium.css,assets/phase6-commerce.css","-","Slightly dated/dense feel","UX4","Single card token set (radius/shadow/spacing); no anywhere-wrap needed at 360-1280"
E1-01,favorites,PDP isntree sun gel,P0,functional,"Add to cart always rejected with stock error on products/isntree-hyaluronic-acid-watery-sun-gel.html","Page missing inventory-client.js so COSMOSKIN_STOCK undefined and cartStockCheck returns ok:false","products/isntree-hyaluronic-acid-watery-sun-gel.html,assets/app.js","-","Product cannot be purchased from its PDP","E1","Page loads inventory-client.js; add-to-cart works; page-drift check added to validator"
E1-02,favorites,stock fallback policy,P1,functional,"Client treats unknown stock as blocking for add-to-cart/qty when inventory API missing or failed (contradicts I2 invariant client-side)","cartStockCheck returns ok:false when window.COSMOSKIN_STOCK absent","assets/app.js,assets/inventory-client.js","product_inventory","False add-to-cart blocks on script failure","E1","Unknown stock allows add with checkout-side validation; warning copy instead of hard block"
E1-03,favorites,removal sync,P1,data-integrity,"Removed favorites can resurrect after login/cross-device","user_metadata.favorites not rewritten on removal; hydrate merges local+remote with metadata fallback","assets/app.js","user_favorites","Users see deleted favorites return","E1","Remove updates all three stores (or metadata store retired); hydrate reconciles deletions; cross-device remove test passes"
