exact_signature,function_name,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,call_path_class,confirmed_backend_rpc,confirmed_trigger_target,proposed_public_execute,proposed_anon_execute,proposed_authenticated_execute,proposed_service_role_execute,migration_action,rollback_public,rollback_anon,rollback_authenticated,rollback_service_role,evidence_source,risk_level,notes
"public.check_purchase(uuid, text)",check_purchase,yes,yes_effective_via_public,yes_effective_via_public,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,No browser/client RPC contract found; close API-role exposure and preserve existing service_role pending later review.
"public.cleanup_old_notifications(integer, integer, integer, integer)",cleanup_old_notifications,no,yes_direct,yes_direct,yes,C/D exposed legacy/internal/operational candidate,no,no,no,no,no,yes,revoke_anon_authenticated_preserve_existing_service_role,no,yes_direct,yes_direct,yes,Committed DB1C-1A ACL/call-path matrices,high,Special case: PUBLIC already closed; migration explicitly removes direct anon/authenticated grants.
public.convert_order_inventory(uuid),convert_order_inventory,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
public.cosmoskin_activity_offer_insert(),cosmoskin_activity_offer_insert,yes,yes_effective_via_public,yes_effective_via_public,yes,C trigger/event-trigger orphan candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,medium,Do not drop or replace; close direct API exposure and retain existing service_role pending legacy review.
public.cosmoskin_activity_order_insert(),cosmoskin_activity_order_insert,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.cosmoskin_activity_order_update(),cosmoskin_activity_order_update,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.cosmoskin_activity_points_insert(),cosmoskin_activity_points_insert,yes,yes_effective_via_public,yes_effective_via_public,yes,C trigger/event-trigger orphan candidate,no,no,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,medium,Do not drop or replace; close direct API exposure and retain existing service_role pending legacy review.
public.cosmoskin_activity_routine_complete(),cosmoskin_activity_routine_complete,yes,yes_effective_via_public,yes_effective_via_public,yes,B confirmed normal-trigger function,no,yes,no,no,no,yes,revoke_public_anon_authenticated_preserve_existing_service_role,yes,no_direct_grant,no_direct_grant,yes,DB1C-1A matrices plus supplied live Q2/Q5/Q8 trigger baseline,high,Direct API EXECUTE is unnecessary for an already-attached trigger; preserve function and trigger definitions.
public.cosmoskin_award_loyalty_for_order(uuid),cosmoskin_award_loyalty_for_order,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
public.cosmoskin_loyalty_balance_for_user(uuid),cosmoskin_loyalty_balance_for_user,no,no,no,yes,A confirmed backend/service-role RPC,yes,no,no,no,no,yes,no_change_verified,no,no_direct_grant,no_direct_grant,yes,Committed DB1C-1A ACL/call-path matrices,high,Live ACL already satisfies the approved contract; intentionally omitted from migration statements.
