exact_function_signature,function_name,inventory_scope,repository_identity,live_security_definer,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,direct_runtime_rpc,call_path_class,call_path_evidence,normal_trigger_attachment,event_trigger_attachment,search_path_evidence,cron_evidence,runtime_criticality,risk_level,recommended_next_lane,decision
"public.check_purchase(uuid, text)",check_purchase,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G no active repository RPC; external/legacy use not excluded,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,No explicit path; unqualified relations confirmed; DB1C-1B3 priority,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,"DB1C-1B1 ACL, then DB1C-1B3 path",Exact-role least-privilege review required
"public.cleanup_old_notifications(integer, integer, integer, integer)",cleanup_old_notifications,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,No,Yes (direct),Yes (direct),Yes,No browser/client or direct runtime RPC found,F/G cleanup/scheduler candidate; pg_cron unavailable,No direct repository runtime RPC found; external consumers remain a stop condition,None confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P0/P1 high-risk exposed,DB1C-1B1 ACL review; DB1C-1B3 only after exact Q2/source review,Exact-role least-privilege review required
public.convert_order_inventory(uuid),convert_order_inventory,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
public.cosmoskin_activity_offer_insert(),cosmoskin_activity_offer_insert,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G trigger-returning orphan/legacy candidate,Returns trigger but live Q8 found no attachment,No attachment confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,Separate orphan/provenance review; do not drop,Close exposure only after orphan/external review; do not drop
public.cosmoskin_activity_order_insert(),cosmoskin_activity_order_insert,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
public.cosmoskin_activity_order_update(),cosmoskin_activity_order_update,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
public.cosmoskin_activity_points_insert(),cosmoskin_activity_points_insert,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,G trigger-returning orphan/legacy candidate,Returns trigger but live Q8 found no attachment,No attachment confirmed,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,Medium/unknown,P1/P2,Separate orphan/provenance review; do not drop,Close exposure only after orphan/external review; do not drop
public.cosmoskin_activity_routine_complete(),cosmoskin_activity_routine_complete,All 33 live public SECURITY DEFINER functions,Live-only/additional identity,Yes,Yes,Yes (effective),Yes (effective),Yes,No browser/client or direct runtime RPC found,D confirmed normal-trigger function,Live Q8 confirms normal table-trigger attachment,Confirmed by live Q8,None; supplemental query returned no rows,Exact live Q2 row controls DB1C-1B3; aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,DB1C-1B2; DB1C-1B3 only if exact Q2/source review requires,Exact-role least-privilege review required
public.cosmoskin_award_loyalty_for_order(uuid),cosmoskin_award_loyalty_for_order,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
public.cosmoskin_loyalty_balance_for_user(uuid),cosmoskin_loyalty_balance_for_user,All 33 live public SECURITY DEFINER functions,Exact repository identity,Yes,No,No,No,Yes,Yes; backend/service-role,C service-role backend RPC,Static runtime RPC mapped through backend service-role helper; no browser/client RPC,None confirmed,None; supplemental query returned no rows,Repository definition uses public; live aggregate is 22 public / 10 missing / 1 pg_catalog,cron.job unavailable; external scheduling not excluded,High,P1/P2,"DB1C-1B1 ACL, then DB1C-1B3 path",Preserve restricted ACL; verify behavior
