exact_function_signature,function_name,return_category,normal_trigger_status,confirmed_normal_trigger,attachment_evidence,trigger_name,table_schema,table_name,timing,event,enabled_state,current_api_exposure,direct_api_execute_required,failure_impact,recursion_identity_review,event_trigger_status,recommended_action
public.cosmoskin_activity_order_insert(),cosmoskin_activity_order_insert,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.cosmoskin_activity_order_update(),cosmoskin_activity_order_update,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.cosmoskin_activity_routine_complete(),cosmoskin_activity_routine_complete,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.handle_new_auth_user_profile(),handle_new_auth_user_profile,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,on_auth_user_created_profile,auth,users,AFTER,INSERT,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.handle_new_user_profile(),handle_new_user_profile,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,on_auth_user_created_cosmoskin_profile,auth,users,AFTER,INSERT,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.loyalty_ledger_recalculate_trigger(),loyalty_ledger_recalculate_trigger,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.routine_completion_recalculate_trigger(),routine_completion_recalculate_trigger,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.sync_review_helpful_count(),sync_review_helpful_count,trigger,Live Q8 confirmed normal trigger dependency,Yes,Live Q8 result,Exact name retained in Q8 export; not restated in handoff,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Live enabled state retained in Q8 export,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Trigger workflow failure or cross-user mutation,Review recursion and derive identity from trusted trigger row,No attachment; supplemental pg_event_trigger query returned no rows,DB1C-1B2 exact-role ACL hardening; preserve trigger
public.cosmoskin_activity_offer_insert(),cosmoskin_activity_offer_insert,trigger,Trigger-returning; no live normal-trigger attachment,No,Live Q8 returned no attachment for this function,None confirmed,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not applicable/unknown,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Unknown legacy/external dependency risk,Review provenance and external dependencies before exposure change,No attachment; supplemental pg_event_trigger query returned no rows,Separate orphan/provenance review; do not drop
public.cosmoskin_activity_points_insert(),cosmoskin_activity_points_insert,trigger,Trigger-returning; no live normal-trigger attachment,No,Live Q8 returned no attachment for this function,None confirmed,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not applicable/unknown,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Unknown legacy/external dependency risk,Review provenance and external dependencies before exposure change,No attachment; supplemental pg_event_trigger query returned no rows,Separate orphan/provenance review; do not drop
public.handle_new_user(),handle_new_user,trigger,Trigger-returning; no live normal-trigger attachment,No,Live Q8 returned no attachment for this function,None confirmed,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not applicable/unknown,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Unknown legacy/external dependency risk,Review provenance and external dependencies before exposure change,No attachment; supplemental pg_event_trigger query returned no rows,Separate orphan/provenance review; do not drop
public.rls_auto_enable(),rls_auto_enable,event_trigger candidate,No normal-trigger attachment confirmed,No,Live Q8 returned no attachment for this function,None confirmed,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not supplied in result summary,Not applicable/unknown,PUBLIC Yes; anon Yes (effective); authenticated Yes (effective),No for confirmed trigger; none proven for candidates,Unknown legacy/external dependency risk,Review provenance and external dependencies before exposure change,No attachment; supplemental pg_event_trigger query returned no rows,Legacy/orphan candidate; do not drop
