exact_function_signature,function_name,current_public_execute,current_anon_execute,current_authenticated_execute,current_service_role_execute,current_acl_class,call_path_class,public_execute_required,anon_execute_required,authenticated_execute_required,service_role_execute_required,trigger_or_internal_only,proposed_public_action,proposed_anon_action,proposed_authenticated_action,proposed_service_role_action,security_definer_necessity,search_path_lane,breakage_risk,preflight_required,rollback_method
"public.check_purchase(uuid, text)",check_purchase,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G no active repository RPC; external/legacy use not excluded,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
"public.cleanup_old_notifications(integer, integer, integer, integer)",cleanup_old_notifications,No,Yes (direct),Yes (direct),Yes,PUBLIC closed; direct anon/authenticated grants,F/G cleanup/scheduler candidate; pg_cron unavailable,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove direct role privilege,Remove direct role privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.convert_order_inventory(uuid),convert_order_inventory,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_activity_offer_insert(),cosmoskin_activity_offer_insert,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G trigger-returning orphan/legacy candidate,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_activity_order_insert(),cosmoskin_activity_order_insert,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_activity_order_update(),cosmoskin_activity_order_update,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_activity_points_insert(),cosmoskin_activity_points_insert,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,G trigger-returning orphan/legacy candidate,No,No,No,Only if trusted operational path is proven,No/unproven,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Unknown; invoker feasibility is later work,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,Medium/unknown,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_activity_routine_complete(),cosmoskin_activity_routine_complete,Yes,Yes (effective),Yes (effective),Yes,PUBLIC EXECUTE produces effective API-role exposure,D confirmed normal-trigger function,No,No,No,Owner/trigger or trusted nested caller only,Yes,Remove if preflight confirms no contract,Remove effective/direct privilege,Remove effective/direct privilege,Retain only for proven trusted path,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_award_loyalty_for_order(uuid),cosmoskin_award_loyalty_for_order,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
public.cosmoskin_loyalty_balance_for_user(uuid),cosmoskin_loyalty_balance_for_user,No,No,No,Yes,Restricted to postgres/service_role,C service-role backend RPC,No,No,No,Yes,No/unproven,Preserve closed,Preserve closed,Preserve closed,Retain,Probably required; verify RLS/cross-table behavior,No path change in DB1C-1B1/1B2; defer source/path work to DB1C-1B3,High,"Exact live identity, owner, definition checksum, direct/effective ACL, trigger/nested/external calls, allowed/denied role tests",Restore exact captured pre-change per-signature ACL; source/config only in DB1C-1B3 rollback
